,Original Word (Input), Modernized Word (Ground Truth),Naive Baseline,Model Prediction
22560,le,le,le,le
22561,de,de,de,de
22562,una,una,una,una
22563,contra,tiene,contra,tiene
22564,a,a,a,a
22565,nros,nuestros,nuestros,nuestros
22566,de,despedir,de,despedir
22567,y,y,y,y
22568,mucho,mucho,mucho,mucho
22569,el,él,el,el
22570,solo,sólo,sólo,selo
22571,que,que,que,que
22572,estando,estando,estando,estando
22573,y,y,y,y
22574,los,los,los,los
22575,porque,porque,porque,porque
22576,diré,diré,diré,dir
22577,pue,haga,pues,haga
22578,sosiego,sosiego,sosiego,sosiego
22579,qn,quien,quien,quien
22580,y,y,y,y
22581,e,lo,he,lo
22582,embian,envían,envían,envan
22583,estado,estado,estado,estado
22584,de,de,de,de
22585,ver,ver,ver,ver
22586,gomez,gómez,gómez,gumez
22587,tal,tal,tal,tal
22588,nos,nos,nos,nos
22589,porq,porque,porque,porque
22590,el,el,el,el
22591,en,en,en,en
22592,expresiones,expresiones,expresiones,expresiones
22593,que,tengo,que,tengo
22594,q,que,que,que
22595,mis,mis,mis,mis
22596,convento,convento,convento,convento
22597,a,a,a,a
22598,me,me,me,me
22599,nos,nos,nos,nos
22600,de,de,de,de
22601,y,y,y,y
22602,y,y,y,y
22603,parece,parece,parece,parece
22604,xamas,jamás,jamás,jams
22605,ago,hago,hago,hago
22606,un,un,un,un
22607,mems,memorias,memorias,memorias
22608,este,esté,este,est
22609,mas,mas,más,mas
22610,ansi,así,así,as
22611,partida,partida,partida,partida
22612,el,él,el,el
22613,que,que,que,que
22614,disolver,para,अ,para
22615,mal,mal,mal,mal
22616,vm,vm,vm,vm
22617,tomo,tomó,tomó,tom
22618,su,en,su,en
22619,illma,ilustrísima,ilustrísima,ilustrsima
22620,no,no,no,no
22621,la,que,la,que
22622,nuestro,nuestro,nuestro,nuestro
22623,pasara,pasara,pasará,pasara
22624,pudiera,pudiera,pudiera,pudiera
22625,sino,sino,sino,sino
22626,que,que,que,que
22627,vera,verá,verá,ver
22628,ay,hay,hay,hay
22629,de,de,de,de
22630,no,no,no,no
22631,la,la,la,la
22632,tavaco,tabaco,tabaco,tabaco
22633,las,las,las,las
22634,los,los,los,los
22635,de,de,de,de
22636,de,francisco,de,francisco
22637,ya,ya,ya,ya
22638,tan,tan,tan,tan
22639,redemptor,redentor,redentor,redentor
22640,la,la,la,la
22641,verdad,verdad,verdad,verdad
22642,la,la,la,la
22643,muy,muy,muy,muy
22644,los,los,los,los
22645,a,a,a,a
22646,al,al,al,al
22647,pues,pues,pues,pues
22648,a,a,a,a
22649,toda,toda,toda,toda
22650,la,la,la,la
22651,conbento,convento,convento,convento
22652,de,de,de,de
22653,nuestros,nuestros,nuestros,nuestros
22654,estado,estado,estado,estado
22655,qe,qué,que,que
22656,cosas,cosas,cosas,cosas
22657,su,su,su,su
22658,estar,estar,estar,estar
22659,en,en,en,en
22660,sto,santo,santo,santo
22661,ubiere,hubiere,hubiere,hubiere
22662,portugal,portugal,portugal,portugal
22663,cosas,cosas,cosas,cosas
22664,su,su,su,su
22665,mgd,majestad,majestad,majestad
22666,y,y,y,y
22667,pensar,pensar,pensar,pensar
22668,yldefonso,san,ildefonso,san
22669,acabo,acabo,acabo,acabo
22670,abade,abade,अ,aaade
22671,le,le,le,le
22672,escripturas,escrituras,escrituras,escrituras
22673,agto,agosto,agosto,agosto
22674,asi,así,así,as
22675,tantas,tantas,tantas,tantas
22676,mozo,mozo,mozo,mozo
22677,he,he,he,he
22678,vm,vm,vm,vm
22679,que,que,que,que
22680,madrid,madrid,madrid,madrid
22681,y,y,y,y
22682,tomar,tomar,tomar,tomar
22683,dizienbre,diciembre,अ,diciembre
22684,anda,anda,anda,anda
22685,guarda,guarda,guarda,guarda
22686,o,o,o,o
22687,hazda,hacienda,hacienda,hacienda
22688,cuanto,cuanto,cuanto,cuanto
22689,riese,riese,अ,riese
22690,contestando,contestando,contestando,contestando
22691,que,que,que,que
22692,mejor,mejor,mejor,mejor
22693,la,la,la,la
22694,la,la,la,la
22695,suya,suya,suya,suya
22696,mui,sea,muy,sea
22697,ma,maría,maría,mara
22698,con,con,con,con
22699,no,no,no,no
22700,injuriado,injuriado,अ,injuriado
22701,10,10,10,10
22702,v,vuestra,vuestra,vuestra
22703,a,y,a,y
22704,de,de,de,de
22705,aver,haber,haber,haber
22706,alma,alma,alma,alma
22707,vinia,venía,अ,vena
22708,dha,dicha,dicha,dicha
22709,sea,sea,sea,sea
22710,juan,juan,juan,juan
22711,buscar,buscar,buscar,buscar
22712,de,primero,de,primero
22713,las,las,las,las
22714,del,del,del,del
22715,y,y,y,y
22716,y,escrito,y,escrito
22717,mas,más,más,mas
22718,le,le,le,le
22719,ruina,ruina,ruina,ruina
22720,quien,quien,quien,quien
22721,ynfanteaviseme,infanteavíseme,अ,infanteavseme
22722,ó,favorable,o,favorable
22723,nezesite,necesite,अ,necesite
22724,en,en,en,en
22725,venga,venga,venga,venga
22726,tengo,tengo,tengo,tengo
22727,por,por,por,por
22728,espinosa,espinosa,espinosa,espinosa
22729,vida,vida,vida,vida
22730,que,que,que,que
22731,y,y,y,y
22732,porq,porque,porque,porque
22733,aparentes,aparentes,aparentes,aparentes
22734,que,que,que,que
22735,a,a,a,a
22736,carta,carta,carta,carta
22737,es,es,es,es
22738,bondad,la,bondad,la
22739,vmd,vm,vm,vm
22740,grande,grande,grande,grande
22741,ha,ha,ha,ha
22742,que,que,que,que
22743,la,la,la,la
22744,deseo,deseo,deseo,deseo
22745,pa,que,para,que
22746,al,purísima,al,pursima
22747,estube,estuve,estuve,estuve
22748,amor,amor,amor,amor
22749,no,corriente,no,corriente
22750,ha,ha,ha,ha
22751,seria,sería,sería,sera
22752,en,en,en,en
22753,como,como,como,como
22754,tafetanes,tafetanes,tafetanes,tafetanes
22755,se,se,se,se
22756,a,a,a,a
22757,le,le,le,le
22758,yo,yo,yo,yo
22759,qu,lo,que,lo
22760,sabes,sabes,sabes,sabes
22761,ma,maría,maría,mara
22762,de,de,de,de
22763,y,y,y,y
22764,os,os,os,os
22765,y,y,y,y
22766,que,que,que,que
22767,esta,esta,esta,esta
22768,de,de,de,de
22769,de,de,de,de
22770,esta,ésta,esta,esta
22771,pobres,pobres,pobres,pobres
22772,lo,lo,lo,lo
22773,ubiera,hubiera,hubiera,hubiera
22774,sr,señor,señor,señor
22775,pribar,de,अ,de
22776,en,dije,en,dije
22777,con,con,con,con
22778,otra,otra,otra,otra
22779,probeame,provéame,अ,provame
22780,jesus,jesús,jesús,jess
22781,dios,dios,dios,dios
22782,allo,hallo,hallo,hallo
22783,señor,señor,señor,señor
22784,obeda,obediencia,obediencia,obediencia
22785,pa,para,para,para
22786,antonio,antonio,antonio,antonio
22787,a,a,a,a
22788,les,les,les,les
22789,cada,cada,cada,cada
22790,que,que,que,que
22791,q,que,que,que
22792,abril,abril,abril,aaril
22793,gloria,gloria,gloria,gloria
22794,pusiera,que,pusiera,que
22795,particulares,particulares,particulares,particulares
22796,sus,sus,sus,sus
22797,fuesen,fuesen,fuesen,fuesen
22798,an,han,han,han
22799,quisiere,me,quisiere,me
22800,y,y,y,y
22801,en,en,en,en
22802,este,este,este,este
22803,flores,flores,flores,flores
22804,io,yo,yo,yo
22805,de,de,de,de
22806,mas,más,más,mas
22807,a,a,a,a
22808,que,que,que,que
22809,de,de,de,de
22810,de,de,de,de
22811,rreales,reales,reales,reales
22812,me,me,me,me
22813,6,6,6,2
22814,el,el,el,el
22815,con,y,con,y
22816,tdo,todo,toledo,todo
22817,a,a,a,a
22818,asi,así,así,as
22819,condicionada,condicionada,अ,condicionada
22820,me,me,me,me
22821,vio,vio,vio,vio
22822,en,en,en,en
22823,qe,que,que,que
22824,que,que,que,que
22825,grancas,las,अ,las
22826,te,te,te,te
22827,aca,acá,acá,ac
22828,religiosas,religiosas,religiosas,religiosas
22829,mercader,mercader,mercader,mercader
22830,vmd,vm,vm,vm
22831,amo,amo,amo,amo
22832,a,ha,a,ha
22833,con,con,con,con
22834,en,en,en,en
22835,gusto,gusto,gusto,gusto
22836,tanto,tanto,tanto,tanto
22837,pagar,pagar,pagar,pagar
22838,buelbo,vuelvo,vuelvo,vuelvo
22839,pagados,tiene,pagados,tiene
22840,ay,hay,hay,hay
22841,me,me,me,me
22842,pone,pone,pone,pone
22843,y,y,y,y
22844,encontrado,encontrado,encontrado,encontrado
22845,he,he,he,he
22846,que,que,que,que
22847,santisima,santísima,santísima,santsima
22848,le,le,le,le
22849,virrey,virrey,virrey,virrey
22850,aqui,aquí,aquí,aqu
22851,convenga,convenga,convenga,convenga
22852,pareçeme,paréceme,paréceme,parceme
22853,bueno,bueno,bueno,bueno
22854,en,en,en,en
22855,las,las,las,las
22856,me,me,me,me
22857,quiere,quiere,quiere,quiere
22858,se,se,se,se
22859,uds,ustedes,ustedes,ustedes
22860,pieza,pieza,pieza,pieza
22861,punto,punto,punto,punto
22862,an,han,han,han
22863,estoy,estoy,estoy,estoy
22864,y,y,y,y
22865,media,media,media,medía
22866,pyerda,pierda,pierda,pierda
22867,que,que,que,que
22868,fija,cosa,fija,cosa
22869,las,las,las,las
22870,sera,será,será,será
22871,noche,noche,noche,noche
22872,creame,créame,créame,crame
22873,darte,darte,darte,darte
22874,quien,quien,quien,quien
22875,el,el,el,el
22876,negocyos,negocios,negocios,negocios
22877,de,de,de,de
22878,los,de,los,de
22879,vm,vm,vm,vm
22880,con,con,con,con
22881,caja,una,caja,una
22882,por,por,por,por
22883,de,de,de,de
22884,caragillo,carajillo,अ,carajillo
22885,myl,mil,mil,mil
22886,apetitos,apetitos,apetitos,apetitos
22887,casa,casa,casa,casa
22888,reyna,reina,reina,reina
22889,la,la,la,la
22890,para,para,para,para
22891,he,todo,he,todo
22892,otras,otras,otras,otras
22893,tan,tan,tan,tan
22894,otras,otras,otras,otras
22895,prohibicion,prohibición,अ,prohibicin
22896,anparo,amparo,amparo,amparo
22897,sino,sino,sino,sino
22898,poctosi,potosí,potosí,potos
22899,oy,hoy,hoy,hoy
22900,trabajos,trabajos,trabajos,trabajos
22901,que,que,que,que
22902,escryve,escribe,escribe,escribe
22903,ynbiase,enviase,enviase,enviase
22904,por,por,por,por
22905,dineros,dineros,dineros,dineros
22906,unos,unos,unos,unos
22907,se,se,se,se
22908,venderlos,venderlos,अ,venderlos
22909,supe,supe,supe,supe
22910,estazion,estación,estación,estacin
22911,gde,guarde,guarde,guarde
22912,ponerles,ponerles,ponerles,ponerles
22913,toro,toro,toro,toro
22914,esos,esos,esos,esos
22915,este,este,este,este
22916,la,la,la,la
22917,mi,mi,mi,mi
22918,de,de,de,de
22919,chocolate,chocolate,chocolate,coccolate
22920,francas,franciscas,franciscas,franciscas
22921,de,de,de,de
22922,la,la,la,la
22923,bien,bien,bien,bien
22924,en,en,en,en
22925,so,señor,so,señor
22926,pateta,pateta,अ,pateta
22927,si,si,si,si
22928,podreçen,podrecen,अ,podrecen
22929,digo,digo,digo,digo
22930,no,no,no,no
22931,es,es,es,es
22932,pe,padre,padre,padre
22933,dicho,dicho,dicho,dicho
22934,disponerlo,disponerlo,अ,disponerlo
22935,le,le,le,le
22936,encubrir,encubrir,encubrir,encubrir
22937,los,los,los,los
22938,a,a,a,a
22939,hermano,hermano,hermano,hermano
22940,dezia,decía,decía,deca
22941,obgeto,el,अ,el
22942,por,por,por,por
22943,necesitas,ahora,necesitas,ahora
22944,ago,hago,hago,hago
22945,hos,os,hermanos,os
22946,y,y,y,y
22947,por,por,por,por
22948,desde,desde,desde,desde
22949,consumen,consumen,consumen,consumen
22950,poder,poder,poder,poder
22951,genios,genios,अ,genios
22952,conze,señora,अ,señora
22953,con,haremos,con,haremos
22954,ha,ha,ha,ha
22955,vmd,vm,vm,vm
22956,amado,amado,amado,amado
22957,señor,señor,señor,señor
22958,bezes,veces,veces,veces
22959,decano,decano,अ,decano
22960,mas,mas,más,mas
22961,a,ha,a,ha
22962,con,cumplido,con,cumplido
22963,he,he,he,he
22964,mi,mi,mi,mi
22965,pena,pena,pena,pena
22966,yo,yo,yo,yo
22967,con,con,con,con
22968,ziertas,ciertas,ciertas,ciertas
22969,yo,yo,yo,yo
22970,en,en,en,en
22971,alla,allá,allá,all
22972,tengo,tengo,tengo,tengo
22973,mi,mi,mi,mi
22974,de,deje,de,deje
22975,comunicacion,comunicación,comunicación,comunicacin
22976,que,que,que,que
22977,de,de,de,de
22978,a,a,a,a
22979,i,ilustrísima,y,ilustrsima
22980,e,he,he,he
22981,a,a,a,a
22982,daba,daba,daba,daba
22983,das,vendidas,das,vendidas
22984,lejos,lejos,lejos,lejos
22985,para,para,para,para
22986,tan,tan,tan,tan
22987,camara,cámara,cámara,camara
22988,moso,mozo,mozo,mozo
22989,honrrado,honrado,honrado,honrado
22990,al,al,al,al
22991,echo,hecho,hecho,hecho
22992,ohido,dado,अ,dado
22993,enseñará,enseñará,अ,enseñar
22994,xesucristo,jesucristo,अ,jesucristo
22995,esfuerzos,esfuerzos,अ,esfuerzos
22996,y,y,y,y
22997,sor,señor,señor,señor
22998,del,del,del,del
22999,de,de,de,de
23000,me,me,me,me
23001,todo,todo,todo,todo
23002,remate,remate,remate,remate
23003,continuen,continúen,अ,continen
23004,podrá,podrá,podrá,podr
23005,yo,yo,yo,yo
23006,casamiento,casamiento,casamiento,casamiento
23007,negocios,negocios,negocios,negocios
23008,mandato,mandato,mandato,mandato
23009,la,la,la,la
23010,por,por,por,por
23011,los,los,los,los
23012,moverte,moverte,अ,moverte
23013,de,de,de,de
23014,vm,vm,vm,vm
23015,um,pues,un,pues
23016,baratos,baratos,अ,baratos
23017,duque,duque,duque,duque
23018,papeles,papeles,papeles,papeles
23019,no,no,no,no
23020,vida,vida,vida,vida
23021,lo,lo,lo,lo
23022,un,un,un,un
23023,y,utilidad,y,utilidad
23024,decir,decir,decir,decir
23025,juntar,juntar,juntar,juntar
23026,a,a,a,a
23027,en,en,en,en
23028,algo,en,algo,en
23029,el,el,el,el
23030,bestias,las,los,las
23031,varones,varones,अ,varones
23032,su,su,su,su
23033,dize,dice,dice,dice
23034,pues,salamanca,pues,salamanca
23035,amor,amor,amor,amor
23036,podria,podría,podría,podra
23037,preço,preso,अ,preso
23038,a,a,a,a
23039,otros,otros,otros,otros
23040,lleguemos,lleguemos,अ,lleguemos
23041,ny,ni,ni,ni
23042,de,abril,de,aaril
23043,de,de,de,de
23044,dudado,dudado,he,dudado
23045,me,me,me,me
23046,hijos,1706hijos,hijos,160hijos
23047,y,y,y,y
23048,y,y,y,y
23049,a,a,a,a
23050,el,el,el,el
23051,nro,nuestro,nuestro,nuestro
23052,el,y,el,y
23053,ir,ir,ir,ir
23054,vmd,vm,vm,vm
23055,q,que,que,que
23056,alma,alma,alma,alma
23057,ay,hay,hay,hay
23058,dicho,dicho,dicho,dicho
23059,22,arrestado,22,arrestado
23060,para,para,para,para
23061,lunes,lunes,lunes,lunes
23062,otubre,octubre,octubre,octubre
23063,mi,mi,mi,mi
23064,vm,vm,vm,vm
23065,le,le,le,le
23066,q,que,que,que
23067,tanvien,que,también,que
23068,qe,que,que,que
23069,q,que,que,que
23070,demas,demás,demás,dems
23071,y,y,y,y
23072,por,por,por,por
23073,en,en,en,en
23074,los,los,los,los
23075,ayude,ayude,ayude,aaude
23076,un,excedieras,un,excedieras
23077,los,los,los,los
23078,me,me,me,me
23079,esto,esto,esto,esto
23080,no,no,no,no
23081,mas,más,más,mas
23082,su,su,su,su
23083,asi,y,así,y
23084,para,para,para,para
23085,por,por,por,por
23086,qe,así,que,as
23087,y,y,y,y
23088,soledad,soledad,soledad,soledad
23089,al,al,al,al
23090,basta,basta,basta,basta
23091,la,dar,la,dar
23092,no,no,no,no
23093,a,a,a,a
23094,sra,señora,señora,señora
23095,ocasion,ocasión,ocasión,ocasin
23096,del,del,del,del
23097,vsa,vsa,vsa,vsa
23098,la,la,la,la
23099,podia,podía,podía,poda
23100,casa,casa,casa,casa
23101,mas,más,más,mas
23102,de,8,de,a
23103,q,que,que,que
23104,q,que,que,que
23105,e,y,he,y
23106,don,don,don,don
23107,sta,santa,santa,santa
23108,adonde,adonde,adonde,adonde
23109,conmigo,conmigo,conmigo,conmigo
23110,le,le,le,le
23111,los,los,los,los
23112,pasa,se,pasa,se
23113,confese,confiese,अ,confiese
23114,y,y,y,y
23115,tanto,tanto,tanto,tanto
23116,por,por,por,por
23117,por,pues,por,pues
23118,mi,mí,mi,me
23119,casar,casar,casar,casar
23120,mejor,mejor,mejor,mejor
23121,porque,ofrezca,porque,ofrezca
23122,contentisimas,contentísimas,अ,contentsimas
23123,que,que,que,que
23124,toledo,toledo,toledo,toledo
23125,mas,era,más,era
23126,en,en,en,en
23127,çierto,cierto,cierto,cierto
23128,nada,nada,nada,nada
23129,duqsa,duquesa,duquesa,duquesa
23130,y,y,y,y
23131,muchos,muchos,muchos,muchos
23132,pido,pido,pido,pido
23133,no,no,no,no
23134,a,a,a,a
23135,a,a,a,a
23136,mi,mi,mi,mi
23137,al,al,al,al
23138,de,gusto,de,gusto
23139,merced,merced,merced,merced
23140,billa,villa,villa,villa
23141,puede,puede,puede,puede
23142,visita,visita,visita,visita
23143,vmd,como,vm,como
23144,porque,porciones,porque,porciones
23145,coca,coca,अ,coca
23146,qe,qué,que,que
23147,sido,sido,sido,sido
23148,ólibar,el,अ,el
23149,por,pues,por,pues
23150,de,de,de,de
23151,no,no,no,no
23152,pareçiendome,pareciéndome,अ,parecindome
23153,o,o,o,o
23154,se,se,se,se
23155,estara,estará,estará,estar
23156,cabeca,cabeza,cabeza,cabeza
23157,aseguren,aseguren,अ,aseguren
23158,j,juan,jesús,juan
23159,28,28,28,20
23160,la,la,la,la
23161,cada,cada,cada,cada
23162,testimonios,los,testimonios,los
23163,entre,entre,entre,entre
23164,cosa,ocurrido,cosa,ocurrido
23165,a,a,a,a
23166,el,el,el,el
23167,dn,don,don,don
23168,que,que,que,que
23169,con,con,con,con
23170,zapata,josé,zapata,jos
23171,uno,uno,uno,uno
23172,cassa,casa,casa,casa
23173,hijo,hijo,hijo,hijo
23174,q,que,que,que
23175,y,y,y,y
23176,tan,tan,tan,tan
23177,amigo,amigo,amigo,amigo
23178,ni,ni,ni,ni
23179,leonardo,de,leonardo,de
23180,del,del,del,del
23181,hamargura,amargura,अ,amargura
23182,dos,dos,dos,dos
23183,el,él,el,el
23184,gral,general,general,general
23185,poder,poder,poder,poder
23186,se,se,se,se
23187,hare,haré,haré,har
23188,tirania,tiranía,tiranía,tirana
23189,irme,irme,irme,irme
23190,que,que,que,que
23191,tan,tan,tan,tan
23192,traira,lo,traerá,lo
23193,q,que,que,que
23194,un,un,un,un
23195,correo,correo,correo,correo
23196,mercedes,mercedes,mercedes,mercedes
23197,mandar,mandar,mandar,mandar
23198,nabaro,navarro,अ,navarro
23199,que,qué,que,que
23200,ser,ser,ser,ser
23201,las,las,las,las
23202,deseando,paternidad,deseando,paternidad
23203,porq,porque,porque,porque
23204,ponerse,ponerse,ponerse,ponerse
23205,deplorable,tan,अ,tan
23206,que,que,que,que
23207,con,con,con,con
23208,el,el,el,el
23209,bisto,habiendo,visto,habiendo
23210,me,reverendo,me,reberendo
23211,roio,royo,royo,royo
23212,los,los,los,los
23213,no,no,no,no
23214,esta,ésta,esta,esta
23215,familia,la,familia,la
23216,por,por,por,por
23217,buena,muy,buena,muy
23218,en,en,en,en
23219,y,y,y,y
23220,mucho,mucho,mucho,mucho
23221,carpio,carpio,अ,carpio
23222,dn,don,don,don
23223,servidora,dieciochoservidora,añosservidora,dieciocoserviora
23224,pues,pues,pues,pues
23225,l,le,la,le
23226,hamburgo,por,अ,por
23227,le,y,le,y
23228,esos,esos,esos,esos
23229,que,que,que,que
23230,tiempo,el,tiempo,el
23231,y,y,y,y
23232,q,que,que,que
23233,solo,sólo,sólo,selo
23234,mas,más,más,mas
23235,19,19,19,10
23236,forma,misma,forma,misma
23237,notifique,notifique,notifique,notifique
23238,haber,haber,haber,haber
23239,novicia,novicia,novicia,novicia
23240,jesusreligiosa,en,अ,en
23241,creo,creo,creo,creo
23242,q,que,que,que
23243,asta,hasta,hasta,hasta
23244,el,el,el,el
23245,verdad,verdad,verdad,verdad
23246,ban,van,van,van
23247,como,como,como,como
23248,me,me,me,me
23249,que,que,que,que
23250,satisfaceredira,satisfacerédirá,अ,satisfacerdir
23251,las,las,las,las
23252,y,y,y,y
23253,cosas,cosas,cosas,cosas
23254,de,de,de,de
23255,de,de,de,de
23256,alma,alma,alma,alma
23257,y,ocho,y,ocho
23258,las,las,las,las
23259,y,y,y,y
23260,o,o,o,o
23261,dos,dos,dos,dos
23262,mucho,mucho,mucho,mucho
23263,me,me,me,me
23264,tributo,tributo,tributo,tributo
23265,probado,probado,अ,probado
23266,todo,de,todo,de
23267,asi,tenía,así,tena
23268,esta,esta,esta,esta
23269,estara,estará,estará,estar
23270,quasi,casi,cuasi,casi
23271,estimare,lo,estimaré,lo
23272,solizitando,solicitando,solicitando,solicitando
23273,este,este,este,este
23274,2,2,2,2
23275,quanto,hermanoen,cuanto,hermanoen
23276,sus,con,sus,con
23277,amor,amor,amor,amor
23278,villalon,villalón,villalón,villaln
23279,de,de,de,de
23280,y,y,y,y
23281,rezien,recién,recién,recin
23282,asi,así,así,as
23283,porque,porque,porque,porque
23284,ama,ama,ama,ama
23285,del,del,del,del
23286,prometi,prometí,prometí,promet
23287,qe,alegraré,que,alegrar
23288,siento,siento,siento,siento
23289,descuido,descuido,descuido,descuido
23290,pues,pues,pues,pues
23291,esta,esta,esta,esta
23292,el,el,el,el
23293,lo,lo,lo,lo
23294,de,de,de,de
23295,curazn,su,la,su
23296,pagallo,pagarlo,अ,pagarlo
23297,y,y,y,y
23298,a,a,a,a
23299,entraba,entraba,entraba,entraba
23300,ingratitud,tal,ingratitud,tal
23301,avisen,te,अ,te
23302,no,no,no,no
23303,pues,pues,pues,pues
23304,viendo,viendo,viendo,viendo
23305,cuidado,cuidado,cuidado,cuidado
23306,a,evitar,a,evitar
23307,de,de,de,de
23308,ingelatera,inglaterra,अ,inglaterra
23309,muerte,muerte,muerte,muerte
23310,su,su,su,su
23311,de,de,de,de
23312,y,y,y,y
23313,y,y,y,y
23314,al,todas,al,todas
23315,a,a,a,a
23316,lo,lo,lo,lo
23317,viniendo,viniendo,viniendo,viniendo
23318,hemos,nos,hemos,nos
23319,de,de,de,de
23320,de,de,de,de
23321,q,que,que,que
23322,pr,por,por,por
23323,pa,para,para,para
23324,y,y,y,y
23325,no,respondió,no,respondi
23326,suplico,suplico,suplico,suplico
23327,vm,vm,vm,vm
23328,d,de,de,de
23329,pa,para,para,para
23330,plazo,plazo,plazo,plazo
23331,fecha,fecha,fecha,fecha
23332,mgd,majestad,majestad,majestad
23333,que,que,que,que
23334,estubo,estuvo,estuvo,estuvo
23335,vm,de,vm,de
23336,la,la,la,la
23337,razon,razón,razón,razn
23338,las,las,las,las
23339,no,no,no,no
23340,supiese,supiese,supiese,supiese
23341,ellas,ellas,ellas,ellas
23342,otuvre,octubre,अ,octubre
23343,se,se,se,se
23344,el,el,el,el
23345,el,el,el,el
23346,las,las,las,las
23347,borrascas,borrascas,अ,vorrascas
23348,a,a,a,a
23349,boluntd,voluntad,अ,voluntad
23350,d,de,de,de
23351,su,su,su,su
23352,entre,entre,entre,entre
23353,presto,presto,presto,presto
23354,salio,salió,salió,sali
23355,que,verás,que,vers
23356,pescada,pescada,अ,pescada
23357,ancho,ancho,ancho,ancho
23358,taracona,tarazona,a,tarazona
23359,el,el,el,el
23360,mucho,mucho,mucho,mucho
23361,llege,llegue,llegue,llegue
23362,lo,lo,lo,lo
23363,alguna,alguna,alguna,alguna
23364,ud,usted,usted,usted
23365,todo,todo,todo,todo
23366,los,fueron,los,fueron
23367,se,así,se,as
23368,pues,pues,pues,pues
23369,de,de,de,de
23370,respondido,respondido,respondido,respondido
23371,besan,besan,besan,besan
23372,daño,¡cuánto,daño,ccunto
23373,y,y,y,y
23374,franceses,franceses,franceses,franceses
23375,de,de,de,de
23376,de,de,de,de
23377,fue,veces,fue,veces
23378,otra,otra,otra,otra
23379,m,mano,mano,mano
23380,bien,bien,bien,bien
23381,mire,esta,mire,esta
23382,y,y,y,y
23383,enbien,envíen,envíen,enven
23384,dias,días,días,daas
23385,cumplido,cumplido,cumplido,cumplido
23386,que,que,que,que
23387,villaberde,villaverde,villaverde,villaverde
23388,ber,ver,ver,ver
23389,en,en,en,en
23390,en,en,en,en
23391,mi,mi,mi,mi
23392,vm,vm,vm,vm
23393,de,de,de,de
23394,con,con,con,con
23395,o,o,o,o
23396,primeros,primeros,primeros,primeros
23397,lo,lo,lo,lo
23398,q,que,que,que
23399,con,con,con,con
23400,que,que,que,que
23401,herdo,hernando,hernando,hernando
23402,dysposicyon,tu,अ,tu
23403,esa,esa,esa,esa
23404,con,con,con,con
23405,abuelos,abuelos,abuelos,aauelos
23406,justizia,justicia,justicia,justicia
23407,dando,dando,dando,dando
23408,y,y,y,y
23409,en,en,en,en
23410,es,es,es,es
23411,mal,mal,mal,mal
23412,ocupaciones,sus,ocupaciones,sus
23413,demas,lo,demás,lo
23414,su,su,su,su
23415,ustedes,ustedes,ustedes,ustedes
23416,buena,buena,buena,buena
23417,en,vive,en,vive
23418,con,con,con,con
23419,gasto,gasto,gasto,gasto
23420,troco,trocó,अ,troc
23421,padre,«padre,padre,mpadre
23422,gorjon,gorjón,अ,gorjn
23423,lo,lo,lo,lo
23424,ade,añosde,añosde,añosde
23425,estes,estés,estés,ests
23426,mismo,lo,mismo,lo
23427,escrito,tengo,escrito,tengo
23428,mi,en,mi,en
23429,por,por,por,por
23430,tiene,tiene,tiene,tiene
23431,de,de,de,de
23432,y,y,y,y
23433,esta,para,esta,para
23434,de,de,de,de
23435,quantos,cuántos,cuantos,cuntos
23436,al,al,al,al
23437,de,de,de,de
23438,portes,portes,portes,portes
23439,vm,vm,vm,vm
23440,escrito,escrito,escrito,escrito
23441,para,para,para,para
23442,se,se,se,se
23443,scrivays,escribáis,अ,escribis
23444,a,ha,a,ha
23445,paga,paga,paga,paga
23446,en,en,en,en
23447,sr,señor,señor,señor
23448,convto,convento,convento,convento
23449,rdo,reverendo,reverendo,reberendo
23450,papel,papel,papel,papel
23451,acziones,acciones,अ,acciones
23452,la,la,la,la
23453,la,la,la,la
23454,resinacion,resignación,y,resignacin
23455,bendra,vendrá,vendrá,vendr
23456,y,y,y,y
23457,regalos,regalos,regalos,regalos
23458,ssavido,sabido,अ,sabido
23459,tengo,tengo,tengo,tengo
23460,su,su,su,su
23461,avia,había,había,haba
23462,pues,pues,pues,pues
23463,morir,morir,morir,morir
23464,qe,iglesia,que,iglesia
23465,criado,criado,criado,criado
23466,labor,labor,labor,labor
23467,de,de,de,de
23468,de,de,de,de
23469,de,de,de,de
23470,estar,estar,estar,estar
23471,vramçd,vm,vm,vm
23472,yo,yo,yo,yo
23473,se,se,se,se
23474,el,arreglar,el,arreglar
23475,ubiera,hubiera,hubiera,hubiera
23476,con,con,con,con
23477,a,a,a,a
23478,mañanas,mañanas,mañanas,mañanas
23479,acer,hacer,hacer,hacer
23480,discurro,discurro,discurro,discurro
23481,de,de,de,de
23482,murçia,murcia,अ,murcia
23483,muchos,muchos,muchos,muchos
23484,las,las,las,las
23485,no,no,no,no
23486,buelba,vuelva,vuelva,vuelva
23487,de,de,de,de
23488,sor,señor,señor,señor
23489,muy,muy,muy,muy
23490,a,a,a,a
23491,y,y,y,y
23492,por,por,por,por
23493,ben,ven,ven,ven
23494,de,y,de,y
23495,haga,haga,haga,haga
23496,de,de,de,de
23497,no,no,no,no
23498,tienes,tienes,tienes,tienes
23499,sentire,escribir,sentiré,escribir
23500,lo,lo,lo,lo
